timestamp,date,time,state_QQQ,action_QQQ,totalQuantity_QQQ,avgPrice_QQQ,commission_QQQ,reg_exec_QQQ ,mktPrice_QQQ ,AvailableFunds,ExcessLiquidity,BuyingPower,Leverage,EquityWithLoanValue,TotalCashValue,NetDividend,NetLiquidation,UnrealizedPnL,RealizedPnL,GrossPositionValue,position_QQQ,marketPrice_QQQ,averageCost_QQQ,marketValue_QQQ,realizedPNL_QQQ,unrealizedPNL_QQQ,initMarginReq_QQQ,maintMarginReq_QQQ,costBasis_QQQ
1443571200,2015-09-30,00:00:00,,,,,,False,95.63799428522547,435559.0270690936,442214.51448510936,2903726.8471272904,0.9998566499151414,509104.9594393517,72.9802391375415,0,509104.9594393517,-50252.67760783201,-44041.37741865596,509031.97920021415,5357,95.0218366996853,104.40258667314652,509031.97920021415,-44041.37741865596,-50252.67760783201,73545.93237025807,66890.44495424232,559284.6568080462
1443657600,2015-10-01,00:00:00,,,,,,False,96.6333273793605,438859.7832548323,445515.2706708481,2925731.8883655486,0.9998575733312254,512405.7156250904,72.9802391375415,0,512405.7156250904,-46951.92142209329,-44041.37741865596,512332.73538595287,5357,95.63799428522547,104.40258667314652,512332.73538595287,-44041.37741865596,-46951.92142209329,73545.93237025807,66890.44495424232,559284.6568080462
1443744000,2015-10-02,00:00:00,,,,,,False,95.55269143469624,444191.7826401136,450847.2700561294,2961278.5509340907,0.999859040133601,517737.7150103717,72.9802391375415,0,517737.7150103717,-41619.922036812,-44041.37741865596,517664.73477123416,5357,96.6333273793605,104.40258667314652,517664.73477123416,-44041.37741865596,-41619.922036812,73545.93237025807,66890.44495424232,559284.6568080462
1444003200,2015-10-05,00:00:00,,,,,,False,99.32549815814968,438402.81588454725,445058.303300563,2922685.439230315,0.9998574462006474,511948.74825480534,72.9802391375415,0,511948.74825480534,-47408.88879237836,-44041.37741865596,511875.7680156678,5357,95.55269143469624,104.40258667314652,511875.7680156678,-44041.37741865596,-47408.88879237836,73545.93237025807,66890.44495424232,559284.6568080462
1444089600,2015-10-06,00:00:00,,,,,,False,99.77104346865698,458613.7415020873,465269.22891810304,3057424.9433472487,0.9998628602603303,532159.6738723454,72.9802391375415,0,532159.6738723454,-27197.96317483834,-44041.37741865596,532086.6936332078,5357,99.32549815814968,104.40258667314652,532086.6936332078,-44041.37741865596,-27197.96317483834,73545.93237025807,66890.44495424232,559284.6568080462
1444176000,2015-10-07,00:00:00,,,,,,False,100.1596852167202,461000.5277304749,467656.01514649065,3073336.8515364993,0.9998634725985768,534546.460100733,72.9802391375415,0,534546.460100733,-24811.176946450723,-44041.37741865596,534473.4798615954,5357,99.77104346865698,104.40258667314652,534473.4798615954,-44041.37741865596,-24811.176946450723,73545.93237025807,66890.44495424232,559284.6568080462
1444262400,2015-10-08,00:00:00,,,,,,False,99.75206765167944,463082.48157484963,469737.9689908654,3087216.5438323305,0.9998640022830677,536628.4139451077,72.9802391375415,0,536628.4139451077,-22729.22310207598,-44041.37741865596,536555.4337059702,5357,100.1596852167202,104.40258667314652,536555.4337059702,-44041.37741865596,-22729.22310207598,73545.93237025807,66890.44495424232,559284.6568080462
1444348800,2015-10-09,00:00:00,,,,,,False,100.57675158833833,460898.87427892623,467554.361694942,3072659.161859508,0.9998634466305415,534444.8066491843,72.9802391375415,0,534444.8066491843,-24912.83039799938,-44041.37741865596,534371.8264100468,5357,99.75206765167944,104.40258667314652,534371.8264100468,-44041.37741865596,-24912.83039799938,73545.93237025807,66890.44495424232,559284.6568080462
1444608000,2015-10-12,00:00:00,,,,,,False,101.17399882016112,465316.7061276079,471972.19354362367,3102111.374184053,0.9998645661548535,538862.638497866,72.9802391375415,0,538862.638497866,-20494.99854931771,-44041.37741865596,538789.6582587285,5357,100.57675158833833,104.40258667314652,538789.6582587285,-44041.37741865596,-20494.99854931771,73545.93237025807,66890.44495424232,559284.6568080462
1444694400,2015-10-13,00:00:00,,,,,,False,100.6526270611012,468516.15954848257,475171.64696449833,3123441.0636565504,0.9998653655361156,542062.0919187407,72.9802391375415,0,542062.0919187407,-17295.545128443046,-44041.37741865596,541989.1116796031,5357,101.17399882016112,104.40258667314652,541989.1116796031,-44041.37741865596,-17295.545128443046,73545.93237025807,66890.44495424232,559284.6568080462
